partner,cover,room_count,pricing_zone,cover_monthly_price,cover_monthly_price_excl_tax,cover_monthly_price_tax
demo,ASSIST,5,ZFRANCE,0.03104,0.02848,0.00256
demo,ASSIST,5,ZNOTFOUND,0.03104,0.02848,0.00256
demo,ASSIST,4,ZFRANCE,0.01397,0.01282,0.00115
demo,ASSIST,4,ZNOTFOUND,0.01397,0.01282,0.00115
demo,ASSIST,3,ZFRANCE,0.00661,0.00606,0.00055
demo,ASSIST,3,ZNOTFOUND,0.00661,0.00606,0.00055
demo,ASSIST,2,ZFRANCE,0.00600,0.00550,0.00050
demo,ASSIST,2,ZNOTFOUND,0.00600,0.00550,0.00050
demo,ASSIST,1,ZFRANCE,0.00475,0.00436,0.00039
demo,ASSIST,1,ZNOTFOUND,0.00475,0.00436,0.00039
demo,BDVIMM,5,ZFRANCE,0.76363,0.70058,0.06305
demo,BDVIMM,5,ZNOTFOUND,0.76363,0.70058,0.06305
demo,BDVIMM,4,ZFRANCE,0.57590,0.52835,0.04755
demo,BDVIMM,4,ZNOTFOUND,0.57590,0.52835,0.04755
demo,BDVIMM,3,ZFRANCE,0.51889,0.47604,0.04284
demo,BDVIMM,3,ZNOTFOUND,0.51889,0.47604,0.04284
demo,BDVIMM,2,ZFRANCE,0.39171,0.35936,0.03234
demo,BDVIMM,2,ZNOTFOUND,0.39171,0.35936,0.03234
demo,BDVIMM,1,ZFRANCE,0.36543,0.33525,0.03017
demo,BDVIMM,1,ZNOTFOUND,0.36543,0.33525,0.03017
demo,CATNAT,5,ZNOTFOUND,5.36395,4.92105,0.44289
demo,CATNAT,4,ZNOTFOUND,4.09427,3.75621,0.33806
demo,CATNAT,3,ZNOTFOUND,3.40634,3.12508,0.28126
demo,CATNAT,2,ZNOTFOUND,2.55919,2.34788,0.21131
demo,CATNAT,1,ZNOTFOUND,1.83403,1.68259,0.15143
demo,CATNAT,5,ZDDEF9C3-ZINCFBCC-ZVOLFDCD,3.68195,3.37793,0.30401
demo,CATNAT,5,ZDDEF9C3-ZINCFBCC-ZVOLFCCC,3.47584,3.18884,0.28700
demo,CATNAT,5,ZDDEF9C3-ZINCFBCC-ZVOLFBCB,3.18324,2.92041,0.26284
demo,CATNAT,5,ZDDEF9C3-ZINCFBCC-ZVOLFACA,2.98341,2.73708,0.24634
demo,CATNAT,5,ZDDEF9C3-ZINCFBCB-ZVOLFDCD,3.66845,3.36555,0.30290
demo,CATNAT,5,ZDDEF9C3-ZINCFBCB-ZVOLFCCC,3.46234,3.17646,0.28588
demo,CATNAT,5,ZDDEF9C3-ZINCFBCB-ZVOLFBCB,3.16975,2.90802,0.26172
demo,CATNAT,5,ZDDEF9C3-ZINCFBCB-ZVOLFACA,2.96992,2.72470,0.24522
demo,CATNAT,5,ZDDEF9C3-ZINCFBCA-ZVOLFDCD,3.61951,3.32066,0.29886
demo,CATNAT,5,ZDDEF9C3-ZINCFBCA-ZVOLFCCC,3.41341,3.13157,0.28184
demo,CATNAT,5,ZDDEF9C3-ZINCFBCA-ZVOLFBCB,3.12081,2.86313,0.25768
